Grip Name,20mm moon
Assessment Date,2026-09-11 13:20:42
Body Weight,65.0,kg

Hand,Critical Force,Max Force,W' (Work Prime),Unit
"Left",18.673802819893275,39.322653329613686,762.5901463956956,"kg"

Hand,Weight,Weight Unit,Timestamp Ms,Relative Ms
"Left",37.7916371212896,"kg",1789125393909,5571
"Left",37.76893135642116,"kg",1789125393921,5583
"Left",37.73534860286068,"kg",1789125393934,5596
"Left",37.585291607046756,"kg",1789125393946,5608
"Left",37.34862783596594,"kg",1789125393958,5620
"Left",37.14178613729403,"kg",1789125393970,5632
"Left",36.99558360868644,"kg",1789125393982,5644
"Left",36.9018619978427,"kg",1789125393994,5656
"Left",36.88967095343922,"kg",1789125394007,5669
"Left",36.82658575708474,"kg",1789125394019,5681
"Left",36.78720287963267,"kg",1789125394031,5693
"Left",36.82839854869439,"kg",1789125394043,5705
"Left",36.879927184567194,"kg",1789125394055,5717
"Left",36.84516687497748,"kg",1789125394067,5729
"Left",36.724842959506326,"kg",1789125394079,5741
"Left",36.53191756888002,"kg",1789125394092,5754
"Left",36.42061313494425,"kg",1789125394104,5766
"Left",36.421066328274094,"kg",1789125394116,5778
"Left",36.43964725915065,"kg",1789125394128,5790
"Left",36.35712079940381,"kg",1789125394140,5802
"Left",36.16990735797385,"kg",1789125394152,5814
"Left",35.8688086642251,"kg",1789125394165,5827
"Left",35.58941967553916,"kg",1789125394177,5839
"Left",35.52112487371912,"kg",1789125394189,5851
"Left",35.52189528559478,"kg",1789125394201,5863
"Left",35.56848257118317,"kg",1789125394213,5875
"Left",35.561231628390814,"kg",1789125394225,5887
"Left",35.453147410910745,"kg",1789125394238,5900
"Left",35.35829637456382,"kg",1789125394250,5912
"Left",35.34483688023112,"kg",1789125394262,5924
"Left",35.2811196015699,"kg",1789125394274,5936
"Left",35.131207633635356,"kg",1789125394286,5948
"Left",35.03164426343183,"kg",1789125394298,5960
"Left",35.024755955095756,"kg",1789125394310,5972
"Left",34.968018089128236,"kg",1789125394323,5985
"Left",34.84140047025973,"kg",1789125394335,5997
"Left",34.599631639598016,"kg",1789125394347,6009
"Left",34.37612695493821,"kg",1789125394359,6021
"Left",34.3963384021525,"kg",1789125394371,6033
"Left",34.418181277108175,"kg",1789125394383,6045
"Left",34.39520547325044,"kg",1789125394396,6058
"Left",34.33846843126123,"kg",1789125394408,6070
"Left",34.20713968036028,"kg",1789125394420,6082
"Left",34.059542581919466,"kg",1789125394432,6094
"Left",33.98386357228033,"kg",1789125394444,6106
"Left",33.988621829574754,"kg",1789125394456,6118
"Left",33.94960413475377,"kg",1789125394469,6131
"Left",33.842792803103954,"kg",1789125394481,6143
"Left",33.76942530283312,"kg",1789125394493,6155
"Left",33.71880678230653,"kg",1789125394505,6167
